Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Terre;PV;Rizohides;Lichen;Aul.pal;Aul.tur;Dic.acu;Dis.sp;Dre.arc;Hep.sp ;Mee.tri;Poh.sp;Ple.sch;Pol.sp;Rac.lan;Sco.cos;Sco.rev;Tom.nit;Rac.can;Cin.lat;Bry.pse;Rhi.pun;Rhi.gra;Phi.tom;Cal.ric;Bra.alb/Lep.rip;Autre.sp;Somme
26;PA;Non Brouté;Exclos;1;25;25;5;;5;;;;;;;;;10;;5;;;;;5;5;;5;5;5;;100
26;PA;Non Brouté;Exclos;2;10;10;;;;;;;;;;60;;;;;;10;;;;;;;;10;;100
26;PA;Non Brouté;Exclos;3;25;20;;;5;;;;;;;10;;5;;;5;;;;15;;;;5;5;5;100
26;PA;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
26;PA;Brouté;Témoin;1;5;15;;10;;;;;;5;;;;5;;;;60;;;;;;;;;;100
26;PA;Brouté;Témoin;2;15;20;;10;5;;;;;;;;;5;;;;40;;;;;;;;;5;100
26;PA;Brouté;Témoin;3;15;15;;5;;;;;;;;;;;;;;55;;;;;;;;;10;100
26;PA;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
33;PS;Non Brouté;Exclos;1;20;20;;;5;;;;20;;;;;;;5;;;;;20;;;5;;;5;100
33;PS;Non Brouté;Exclos;2;20;20;;;;;;5;;;;5;;10;;;10;;;;20;;;5;5;;;100
33;PS;Non Brouté;Exclos;3;20;15;;10;;;;5;20;;;;;5;;5;;;;;10;;;10;;;;100
33;PS;Non Brouté;Exclos;4;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;0
33;PS;Brouté;Témoin;1;30;5;25;;;;;;10;;;;;;;;5;;;;20;;;;;;5;100
33;PS;Brouté;Témoin;2;30;5;5;;;;;;10;;;;;;;;25;;;;25;;;;;;;100
33;PS;Brouté;Témoin;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
33;PS;Brouté;Témoin;4;35;5;25;;;;;;;;;;;;;;10;;;5;15;;;;;;5;100
35;PS;Non Brouté;Exclos;1;40;5;;;;;;;20;;;;;;;;5;10;;;5;;;;;15;;100
35;PS;Non Brouté;Exclos;2;65;5;15;;;;;;;;;;;;;;;;;;;;;;;;15;100
35;PS;Non Brouté;Exclos;3;50;5;30;;;;;;;;;;;;;;;;;;;;;;;;15;100
35;PS;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
35;PS;Brouté;Témoin;1;60;;;;;;;;;;;;;;;;20;;;;;;;;20;;;100
35;PS;Brouté;Témoin;2;5;;25;;;;;;;;;;;;;15;;;;25;15;;;5;10;;;100
35;PS;Brouté;Témoin;3;10;;;;;;;;;;5;;;;;;15;;;;5;;;;65;;;100
35;PS;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
36;PS;Brouté;Témoin;1;55;;15;;;;;;;;;;;;;;10;;;;10;;;;;;10;100
36;PS;Brouté;Témoin;2;55;15;;;;;;;;;;;;;;;;;;;25;;;;;;5;100
36;PS;Brouté;Témoin;3;70;5;;;;;;;;;;;;;;;20;;;;;;;;5;;;100
36;PS;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
36;PS;Non Brouté;Exclos;1;5;25;;;;;;;25;;;;;;;;25;;;;15;;;;;;5;100
36;PS;Non Brouté;Exclos;2;5;15;;;5;;;;15;;;;;;;;;;;10;25;5;5;10;;;5;100
36;PS;Non Brouté;Exclos;3;5;10;10;;;;;;;;;;;;;5;;;;10;60;;;;;;;100
36;PS;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
43;PA;Non Brouté;Exclos;1;40;5;;;5;5;5;;;30;;;;;;;;;;;;;;;;;10;100
43;PA;Non Brouté;Exclos;2;20;5;;50;5;;;;;5;;;;10;;5;;;;;;;;;;;;100
43;PA;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
43;PA;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
43;PA;Brouté;Témoin;1;25;25;25;;15;;;;;10;;;;;;;;;;;;;;;;;;100
43;PA;Brouté;Témoin;2;15;10;40;;15;10;;;;10;;;;;;;;;;;;;;;;;;100
43;PA;Brouté;Témoin;3;20;5;5;5;10;25;30;;;;;;;;;;;;;;;;;;;;;100
43;PA;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
71;PA;Brouté;Témoin;1;20;20;20;;;;;;5;;5;;10;;;10;;;;;;;10;;;;;100
71;PA;Brouté;Témoin;2;15;15;10;;;;;;;;5;;10;;;;15;;;;;15;15;;;;;100
71;PA;Brouté;Témoin;3;20;15;20;;;;;;;;5;;5;;;5;10;;;;;10;10;;;;;100
71;PA;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
71;PA;Non Brouté;Exclos;1;10;5;85;;;;;;;;;;;;;;;;;;;;;;;;;100
71;PA;Non Brouté;Exclos;2;5;5;55;5;;;;5;;;5;;;;;5;;5;;5;5;;;;;;;100
71;PA;Non Brouté;Exclos;3;5;5;75;5;;;;;;;;;;;;;;;;;5;;;5;;;;100
71;PA;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
72;PA;Non Brouté;Exclos;1;5;5;35;;;15;;;;;;;;;;;5;;;;5;;;10;5;15;;100
72;PA;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
72;PA;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
72;PA;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
72;PA;Brouté;Témoin;1;;5;;;;;;;5;;20;;;;;;30;5;;;;;;5;30;;;100
72;PA;Brouté;Témoin;2;;5;;;;;5;;10;;5;;;;;;25;;;5;;5;;10;25;;5;100
72;PA;Brouté;Témoin;3;;10;;;;;;;;;5;;;;;;40;;;;;;;;40;5;;100
72;PA;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
A1;PR;Non Brouté;Exclos;1;;5;5;10;;25;50;;;;;;5;;;;;;;;;;;;;;;100
A1;PR;Non Brouté;Exclos;2;;10;;5;;15;25;20;;5;;5;10;;5;;;;;;;;;;;;;100
A1;PR;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
A1;PR;Non Brouté;Exclos;4;25;15;;;;5;10;35;;5;;;5;;;;;;;;;;;;;;;100
A1;PR;Brouté;Témoin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
A1;PR;Brouté;Témoin;2;15;25;;10;;5;;;;;;;10;;10;;;;;;;;;;;;25;100
A1;PR;Brouté;Témoin;3;15;50;;5;;;;;;;;;10;;10;;;;;;;;;;;;10;100
A1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
B1;PR;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
B1;PR;Non Brouté;Exclos;2;25;25;15;10;;5;5;;;;;5;5;5;;;;;;;;;;;;;;100
B1;PR;Non Brouté;Exclos;3;5;50;;;;20;5;;;;;;20;;;;;;;;;;;;;;;100
B1;PR;Non Brouté;Exclos;4;5;10;;10;;25;50;;;;;;;;;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;1;15;20;;10;;5;5;;;15;;20;;5;;;;;;;;;;;;;5;100
B1;PR;Brouté;Témoin;2;20;30;;10;;5;10;;;10;;10;5;;;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;3;20;5;;20;;10;15;;;10;;5;5;;10;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Brouté;Témoin;1;5;25;20;5;;10;5;;;20;;5;5;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;2;;;;;;;;;;25;;75;;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;3;10;5;25;5;;5;25;;;10;;10;5;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
D1;PR;Brouté;Témoin;1;5;5;;5;;5;10;;;20;;;20;10;;20;;;;;;;;;;;;100
D1;PR;Brouté;Témoin;2;15;15;5;10;;5;;;;15;;;10;;;15;;;;;;;;;;;10;100
D1;PR;Brouté;Témoin;3;15;15;;15;;5;10;;;15;;;5;5;;15;;;;;;;;;;;;100
D1;PR;Brouté;Témoin;4;5;10;;10;;;;;;5;;;35;;;25;;;;;;;;;;;10;100
D1;PR;Non Brouté;Exclos;1;25;5;;25;;;;;;;;;;15;10;;;;;;;;;;;;20;100
D1;PR;Non Brouté;Exclos;2;35;25;;10;;;;;;;;;5;10;;;;;;;;;;;;;15;100
D1;PR;Non Brouté;Exclos;3;25;30;;15;;;;;;;;;;;15;5;;;;;;;;;;;10;100
D1;PR;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;4;;15;;;;15;;;;10;;10;15;;;;;;;;;;;;;;35;100
E1;PO;Brouté;Témoin;1;10;15;10;;;10;;;;;;;30;;15;10;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;2;10;10;15;;;15;;10;;5;;;20;5;10;;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;3;10;20;10;;;10;;;;;;;30;5;;15;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Non Brouté;Exclos;1;15;30;;;;5;5;;;15;;;;;;25;;;;;;;;;;;5;100
F1;PO;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Non Brouté;Exclos;3;40;5;;5;;15;;;;20;;;;;;5;;5;;;;;;;;;5;100
F1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Brouté;Témoin;1;25;;;15;;10;10;;;15;;;10;;;10;;;5;;;;;;;;;100
F1;PO;Brouté;Témoin;2;15;5;5;5;;10;25;;;10;;10;5;;;5;;;5;;;;;;;;;100
F1;PO;Brouté;Témoin;3;10;10;15;15;;5;25;;;5;;5;5;;;5;;;;;;;;;;;;100
F1;PO;Brouté;Témoin;4;15;5;5;20;;5;5;;;15;;5;5;;;20;;;;;;;;;;;;100
G1;PO;Non Brouté;Exclos;1;5;5;;10;;15;30;;;10;;;15;;;5;;;;;;;;;;;5;100
G1;PO;Non Brouté;Exclos;2;50;20;;;;;;;;10;;10;;;;;;;;;;;;;;;10;100
G1;PO;Non Brouté;Exclos;3;20;10;;10;;5;40;;;10;;;5;;;;;;;;;;;;;;;100
G1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
G1;PO;Brouté;Témoin;1;25;5;30;;10;10;;;;;;;5;;;5;;;;;;;;;;;10;100
G1;PO;Brouté;Témoin;2;10;20;10;20;;20;;20;;;;;;;;;;;;;;;;;;;;100
G1;PO;Brouté;Témoin;3;20;15;15;;10;5;5;;;;;20;;;;5;;;;;;;;;;;5;100
G1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
H1;PO;Non Brouté;Exclos;1;75;5;;;;;;;;;10;;;;;;;;;;;;;;;;10;100
H1;PO;Non Brouté;Exclos;2;10;10;;;;5;;;;10;;;25;20;;15;;;;;;;;;;;5;100
H1;PO;Non Brouté;Exclos;3;10;15;;5;;25;5;;;5;;;25;5;;5;;;;;;;;;;;;100
H1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
H1;PO;Brouté;Témoin;1;5;5;;15;;5;10;;;15;;20;5;15;;5;;;;;;;;;;;;100
H1;PO;Brouté;Témoin;2;5;5;;25;;15;;;;15;;;15;15;;5;;;;;;;;;;;;100
H1;PO;Brouté;Témoin;3;10;5;5;15;;5;5;;;20;;;;;;5;;;;;30;;;;;;;100
H1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;1;Brouté;Témoin;1;20;20;15;;;10;;;;;5;;;;;20;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;2;25;15;20;;;5;;;;;5;;;;;20;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;3;20;20;10;;;;;;;;10;;;;;30;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;1;Non Brouté;Exclos;1;10;30;10;;5;5;;;;;5;;;;;15;15;;;;;5;;;;;;100
ROC3;1;Non Brouté;Exclos;2;10;40;10;;5;5;;;;;5;;;;;5;10;;;;;10;;;;;;100
ROC3;1;Non Brouté;Exclos;3;15;35;15;;"
";5;;;;;;;;;;;15;;;;;15;;;;;;100
ROC3;1;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;6;Brouté;Témoin;1;25;25;10;;;;;;5;;5;;;;;10;10;;;;;5;;;5;;;100
ROC3;6;Brouté;Témoin;2;25;20;10;;5;5;;;5;;5;;;;;5;15;;;;;5;;;;;;100
ROC3;6;Brouté;Témoin;3;20;20;5;;;5;;;5;;10;;;;;10;10;;;;;5;10;;;;;100
ROC3;6;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
