Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
ROC7;4;Brouté;Témoin;Sco.cos;10;0,296;5;1;3;3;1;4;1;1;1;1;2,1;0,0002;0,0282;3,4;3;2,5;4,2;1,5;2,7;2,7;2,5;2,8;3,7;2,9;0;0;0;0,8;0;0;1,4;0,5;1,2;1,5;0,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,62;5,88;5,31;5,60333333333333;21,7;0,13;;;6,25928521373511;-26,84166505404;0,0655289553814415;29,564204;1,0679766;27,6824454768016
ROC7;4;Brouté;Témoin;Sco.rev;8;0,4521;2;4;3;2;2;2;1;2;;;2,25;0;0,0423;2,2;2,7;2,7;3,2;2,5;5;2,7;1,2;;;2,775;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,93;5,8;;5,865;21,7;;1000;506;6,58591549295775;-26,7313129762071;-0,459349501163966;24,3483516;0,9860268;24,693397380274
ROC7;4;Brouté;Témoin;Cal.ric;9;0,2829;1;1;1;1;1;2;2;1;;;1,25;0,002;0,023;2,5;1,5;2;1,5;2,2;2,3;4;1,6;;;1,95555555555556;1,8;0;0;0;0;0;0;1,2;;;0,375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,16;5,79;5,91;5,95333333333333;21,5;;932;476;4,5943661971831;-26,863536637034;-0,475406968285814;26,3494631;1,0345809;25,4687314447812
ROC7;6;Non Brouté;Exclos;Poh.nut;10;0,1309;1;3;2;5;2;4;1;1;2;3;2,4;0,0058;0,0078;2,3;3,3;4,6;3,5;3,4;2,1;2,9;6,2;3,2;4,1;3,56;0,7;1,2;3;1,3;0,9;0,8;0,5;0,6;0,4;0,7;1,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,57;5,36;;5,465;21,7;0,06;;;3,78348369188064;-28,0595145616559;-0,0308158473496467;37,5321024;1,294327;28,9973881407094
ROC7;6;Non Brouté;Exclos;Aul.pal;9;0,3544;6;1;4;5;3;2;6;1;5;;3,66666666666667;0,0126;0,0317;2,8;6,2;4,3;3,4;2,8;3,2;2,7;5,4;2,4;;3,68888888888889;1,1;2,5;1,6;1,1;1,1;1;0,9;1,3;1;;1,28888888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,2;5,6;5,82;5,54;21,7;0,04;;;7,75647305808257;-28,048578770159;0,156855799636952;30,0353591;1,0701256;28,0671344559928
ROC7;6;Non Brouté;Exclos;Aul.tur;7;0,7154;3;4;2;3;3;5;6;;;;3,71428571428571;0,0184;0,0669;4,4;4,1;6,7;5,1;4,3;3,5;3,8;;;;4,55714285714286;0,9;1,1;2,9;1,8;1,4;1;1,1;;;;1,45714285714286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,34;4,49;4,56;4,79666666666667;21,7;0,05;;;13,1652892561983;-27,4411452606461;0,0133421872354353;28,9131538;0,934661;30,9343749231005
ROC7;6;Brouté;Témoin;Bry.pse;10;0,3484;6;5;3;6;4;4;1;1;9;11;5;0,0028;0,0415;1,3;1,8;2,1;2;1,8;1,1;1,7;1,5;1,1;1,4;1,58;0,2;0,7;1,8;0,7;0,9;0;0;0;0;0;0,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,63;6,21;6,14;5,99333333333333;21,7;0,13;;;4,8854748603352;-26,4827722603671;2,1279098888438;20,1608614;1,0263115;19,6439983377366
ROC7;10;Non Brouté;Exclos;Poh.nut;9;0,0688;2;1;4;2;1;5;1;4;1;;2,33333333333333;0,0041;0,0042;2,6;2;1,7;2,2;3,5;3;4;2,9;3,6;;2,83333333333333;1,5;0,8;1,1;1,5;0,5;1,8;0,7;0,4;1,1;;1,04444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,33;5,39;;5,36;21,7;0,13;;;2,2510460251046;-26,6547624357284;-2,70639130652758;35,0178311;0,9969129;35,1262694062841
ROC7;10;Non Brouté;Exclos;Hep.sp;10;0,1496;1;1;1;1;1;1;1;1;1;1;1;0,0108;0;2,5;3,1;3,9;2,9;3,3;3,3;2,7;3;3,4;3,6;3,17;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,88;7,53;7,14;7,85;21,6;0,1;;;2,9747191011236;-28,5744909248763;-2,80072892586843;36,0571333;0,8764612;41,1394518091617
ROC7;10;Non Brouté;Exclos;Aul.pal;3;0,4794;2;3;5;;;;;;;;3,33333333333333;0,0215;0,0216;3,8;4,7;4,1;;;;;;;;4,2;1,7;2,2;1,6;;;;;;;;1,83333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,72;5,01;4,75;4,82666666666667;21,7;0,21;;;7,32299012693935;-26,6050542925604;-2,51671247615075;21,798348;0,6465431;33,7152279561873
ROC7;10;Brouté;Témoin;Poh.nut;10;0,0216;1;1;1;1;2;2;3;3;4;3;2,1;0,0004;0,0031;1,1;1,2;1,1;1,6;2;1,1;1,2;1,4;2,3;1,2;1,42;0;0;0;0;0,1;0,2;0,3;0,2;0,4;0,5;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,21;;;0,864714086471409;-27,2194469421168;-1,57634705782752;28,0312429;0,8988814;31,1845844179221
ROC7;10;Brouté;Témoin;Aul.pal;3;0,3168;1;2;7;;;;;;;;3,33333333333333;0,0031;0,0274;1,2;2;2,9;;;;;;;;2,03333333333333;0,4;0;0,5;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,48;5,01;4,73;4,74;21,7;;1082;269;2,84722222222222;-27,2771083881917;-1,15784932096436;28,5644268;0,9414591;30,3405923847356
ROC7;10;Brouté;Témoin;Rhi.pun;4;0,1767;1;1;1;1;;;;;;;1;0,0064;0,002;1;1,1;1,2;1,4;;;;;;;1,175;1;0,8;0,8;0,5;;;;;;;0,775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,08;4,87;4,93;4,96;21,7;;1224;331;1,99020293911826;-26,5980951525169;-1,26222285725637;26,6336186;1,1637888;22,8852680142651
ROC7;10;Brouté;Témoin;Pol.sp;9;0,2675;1;1;1;1;1;1;1;1;1;;1;0,0083;0,0242;1,3;2,2;2,6;2,9;1,6;4,3;2,1;1,9;0,8;;2,18888888888889;0;0;0;0;0,5;0;0;1;0;;0,166666666666667;0,4;0,7;0,8;0,9;0,7;1;;;;;0,75;0,7;0,5;;;0,3;0,4;;;;;0,475;0,6;;;;0,5;;;;;;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869;169;4,01970443349754;-27,9342500408726;-1,78910849719201;38,4877262;1,1638752;33,068602372488
ROC7;10;Brouté;Témoin;Poh.nut+Aul.pal+Bra.alb;7;0,0157;1;1;1;1;1;1;2;;;;1,14285714285714;0,0011;0,001;1,1;1,2;1,3;1,4;1,9;0,8;1,7;;;;1,34285714285714;0,3;0,6;0,1;0,3;0,9;0,6;0,5;;;;0,471428571428571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,13;5,03;;5,08;21,7;;810;287;0,429473684210526;-25,9737608743268;-1,19498221368363;34,5698445;1,3512461;25,5836775403089
ROC7;14;Non Brouté;Exclos;Aul.tur;9;0,5334;1;4;1;3;2;3;2;3;2;;2,33333333333333;0,0313;0,026;5,2;6,5;5;7,7;5,7;4,2;4,3;4,2;3;;5,088888889;4,2;3,7;3,5;4;1;2;3,5;2,8;1,2;;2,87777777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;5,24;5,21;5,33666666666667;21,7;0,05;;;11,4923733984137;-27,4650051693667;0,284311944916621;35,4622263;1,0936242;32,4263364874332
ROC7;14;Non Brouté;Exclos;Aul.pal;9;0,5203;3;1;1;3;2;1;1;2;1;;1,66666666666667;0,0231;0,0365;5;4,5;8,3;4,2;5,5;3,7;6,3;8,5;4;;5,55555555555556;1;2;3,5;3;2;2;0,8;3,5;1,5;;2,14444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5,03;;5,015;21,7;0,06;;;10,239039039039;-27,60090526;5,985851907;36,3063395;1,10028725;32,99714638
ROC7;14;Brouté;Témoin;Aul.pal;10;1,1108;1;2;1;3;2;2;2;5;5;3;2,6;0,0204;0,0622;3,6;5;5,5;6;4,1;5;3;4;4,8;5,6;4,66;0;1,2;1,5;1,5;1,3;1;1,2;1,5;0,5;1;1,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,93;4,94;;4,935;21,6;0,08;;;14,7510447761194;-26,61052278;2,399492931;31,4821088;0,917262638;34,32180441
ROC7;14;Brouté;Témoin;Aul.tur;10;0,739;2;3;7;5;2;5;3;3;2;1;3,3;0,0211;0,0344;4,5;4,2;4,5;5,3;5,3;3,5;4,5;3;2,8;2,2;3,98;3;2;2;0,5;1,5;0,8;2,5;1,2;0,5;0;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5,04;;5,02;21,7;0,08;;;11,046357615894;-25,8609404336549;0,3493295339472;36,2541053;0,9510821;38,1187967894675
ROC8;1;Non Brouté;Exclos;Sco.rev;10;0,3741;1;1;1;1;2;2;2;3;3;4;2;0,0025;0,0497;1,8;2,5;2,3;1,9;2,6;2,3;2,9;3;2,3;1,9;2,35;0;0;0;0;0;0,4;0,2;0,4;0,3;0,7;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,92;5,7;;5,81;21,7;0,13;;;5,08874329958308;-25,5926791978848;-1,0323035348421;18,1845576;0,519404;35,0104304164003
ROC8;1;Non Brouté;Exclos;Cin.lat;10;0,4888;2;3;2;1;1;2;2;1;1;1;1,6;0,0012;0,0622;1,8;2;2,2;1,8;2,5;2,7;2,3;1,9;2;1;2,02;0,1;0;0,4;0,3;0;0;0,5;0;0,5;0;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,21;6,33;;6,27;21,7;0,12;;;5,10460251046025;-25,7827388187994;-0,790853095636203;14,1793215;0,4999475;28,3616209702019
ROC8;1;Non Brouté;Exclos;Bry.pse;10;0,1098;2;3;3;3;3;3;2;4;2;2;2,7;0,0003;0,0222;1,8;1,5;2,6;2,7;2;2,7;2,6;2;1,8;1,6;2,13;0,3;0,6;0,6;0;0;0;0;0;0;0;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,29;5,09;;5,19;21,7;0,11;;;2,1624184943687;-25,4283568173024;-0,89919624143372;17,2642441;0,5497372;31,4045403876616
ROC8;1;Non Brouté;Exclos;Aul.pal;6;0,6714;4;2;1;3;1;3;;;;;2,33333333333333;0,0042;0,0937;3,4;3,1;2,5;2,6;2,1;2,4;;;;;2,68333333333333;0,2;0,5;0,6;0;0,3;0;;;;;0,266666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,77;6,79;;6,78;21,6;0,11;;;5,40798094103633;-26,5122905928311;-1,0323035348421;15,2830378;0,3499218;43,6755806583071
ROC8;1;Brouté;Témoin;Bry.pse;10;0,1696;1;3;2;3;1;3;3;1;2;6;2,5;0,0011;0,032;2,5;2,4;1,8;1,3;1,1;2;2,2;1,9;1,3;2;1,85;0,7;0,4;0,6;0,1;0;0;0;0,5;0,5;0,6;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,96;5,94;;5,95;21,6;0,13;;;3,00409276944066;-26,1608782729108;-1,04365376916374;18,6105736;0,834526;22,3007714558923
ROC8;1;Brouté;Témoin;Cin.lat;10;0,2717;2;3;3;2;1;4;1;1;1;1;1,9;0,0002;0,031;1,6;1,4;1,2;1,4;1,5;1,2;2,1;1,6;1,2;2,8;1,6;0;0;0;0;0;0,3;0;0,4;0;0,3;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6;4,86;4,97;4,81;21,7;0,14;;;3,42586323628978;-26,3647964078504;-1,21597096295599;18,8105647;0,8500385;22,1290738007749
ROC8;1;Brouté;Témoin;Sco.rev;10;0,2099;2;3;2;1;1;1;1;1;2;2;1,6;0,0012;0,0282;2,6;2,4;3,3;2,7;1,5;1,9;2,1;1,4;2,4;2,6;2,29;0,3;0,4;0,6;0,7;0;0;0;0;0,5;0;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,96;4,96;;4,96;21,7;0,12;;;4;-26,1153431554;-1,42956173609967;22,1301803;0,7624854;29,0237430119973
ROC8;1;Brouté;Témoin;Aul.tur;2;0,091;1;2;;;;;;;;;1,5;0,0023;0,0067;1,9;1,8;;;;;;;;;1,85;1,7;0,3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5,17;;5,085;21,6;;807;461;0,971428571428572;-25,3899327;9,059231055;21,1098587;0,775643555;27,21592742
ROC8;4;Non Brouté;Exclos;Sco.rev;10;0,396;3;2;1;1;4;2;4;5;2;3;2,7;0,0019;0,0514;2,2;3;1,9;1,8;2;1,9;2,3;1,8;2,3;2;2,12;0,6;0;0,3;0,2;0,2;0;0,1;0;0;0;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,04;6,13;;6,085;21,7;0,1;;;5,33423362592843;-26,5548560287651;0,515455690836727;12,3074427;0,3501496;35,149098271139
ROC8;4;Non Brouté;Exclos;Sco.cos;10;0,0645;4;2;2;2;2;1;3;1;1;1;1,9;0,005;0,005;1,5;1,3;1,9;1,8;2;1;1,6;1,3;1,9;1,3;1,56;1,3;0,8;0;0;1,2;0,7;0,5;0,8;1,3;0,6;0,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;976;442;1,29380053908356;-26,94358909;7,275051213;30,6101129;0,640376633;47,80017143
ROC8;4;Non Brouté;Exclos;Cal.ric;5;0,1115;4;1;3;5;2;;;;;;3;0,0053;0,0094;2,3;2,5;3,2;3,6;1,9;;;;;;2,7;1,3;1,2;0,8;0,7;1,8;;;;;;1,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,22;6,39;;6,305;21,7;;932;291;2,04158283031522;-27,3180641940003;-0,388435696959708;16,4015242;0,5034672;32,5771454426425
ROC8;4;Non Brouté;Exclos;Bra.alb;3;0,1299;4;4;3;;;;;;;;3,66666666666667;0,003;0,0099;3,5;1,8;3,5;;;;;;;;2,93333333333333;0;0,7;1,1;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;898;694;1,81448882870684;-27,4190333676112;-0,140794220851095;18,3332414;0,4886957;37,5146362040836
ROC8;4;Brouté;Témoin;Bry.pse;10;0,0713;1;4;2;1;1;1;1;2;2;3;1,8;0,0012;0,0114;1,5;1,3;1,4;1,9;1,5;1,5;1,3;1,6;1,5;1,3;1,48;0,5;0,3;0,3;0,4;0,5;0,5;0,4;0,5;0,5;0,4;0,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,27;5,42;;5,345;21,6;0,11;1045;576;1,84871616932686;-26,2044336027037;0,289482843887619;22,5967917;0,8367493;27,0054503780284
ROC8;4;Brouté;Témoin;Sco.rev;4;0,0554;1;1;2;3;;;;;;;1,75;0,0004;0,0053;2,3;1,9;1,9;1,6;;;;;;;1,925;0,4;0,3;0;0;;;;;;;0,175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5,83;;5,915;21,7;0,14;;;1,23308270676692;-26,0381314344034;0,0862104655817995;14,7887538;0,6141096;24,081619632717
ROC8;6;Non Brouté;Exclos;Bra.alb;10;0,5151;6;2;3;3;5;3;5;8;7;8;5;0,0135;0,0255;4;4,5;4,8;4,2;4,8;4;5,4;3,9;4,7;4,9;4,52;2;3,1;1,9;1,6;0,6;1,5;0,7;1,1;0,9;0,5;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,22;5,72;5,6;5,51333333333333;21,7;0,06;;;9,05131761442441;-28,1350709392713;1,68432235960275;33,5211857;0,9083077;36,9050991200449
ROC8;6;Non Brouté;Exclos;Rhi.pun;10;0,1928;1;2;2;1;1;1;2;2;5;1;1,8;0,0097;0,0103;2,3;1;0,9;1,2;1,7;0,9;2;1,3;1,7;1,4;1,44;0,7;0,9;0,3;1,5;0,9;0,7;0,7;0,5;0,5;0,4;0,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,18;6,16;;6,17;21,5;0,13;;;3,83125864453665;-27,2363477107939;0,96976507268051;15,1097426;0,8427225;17,9296774442358
ROC8;6;Brouté;Témoin;Bry.pse;10;0,0778;6;5;1;3;1;3;1;1;2;3;2,6;0,0035;0,0135;1,8;2,1;2,3;2;1,5;2,7;2,2;2,9;2,3;2,8;2,26;0,7;0,9;1,2;0,6;0,5;1;0,8;1,2;0,9;1,1;0,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,96;5,84;5,88;5,89333333333333;21,6;0,11;;;3,00624566273421;-26,291892990602;0,608472062438929;26,8871258;1,1785045;22,8146144541663
ROC8;10;Non Brouté;Exclos;Sco.cos;10;0,1764;1;1;2;6;2;1;2;2;1;2;2;0;0,0222;3;2,3;3,5;5,6;2,8;2,3;2,5;3,2;2,2;1;2,84;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,69;6,73;;6,71;21,6;0,38;;;;-28,20140423;5,670864293;23,3421719;1,026745916;22,73412686
ROC8;10;Non Brouté;Exclos;Cal.ric;10;0,2914;2;1;2;1;1;4;1;1;2;2;1,7;0,0016;0,0299;4;3,7;2,2;3,3;2,4;4,3;3;4;3,5;2,5;3,29;0,5;0;0;1,2;0,9;1;0;0;0,7;0;0,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,15;5,34;;5,245;21,7;0,47;;;7,14545454545454;-28,3418568148501;0,34252026323332;25,5038911;0,918414;27,7694929519803
ROC8;10;Non Brouté;Exclos;Bry.pse;10;0,1452;1;1;4;1;1;1;1;1;1;1;1,3;0,0012;0,0201;1;2;2,3;2;1,9;2,5;2,2;2;1,2;3,8;2,09;0;0,8;1;0;0;0,6;0;1;0;0;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,92;5,94;;5,93;21,7;;2467;658;3,15088177661659;-27,0822524669731;-0,185368968397434;25,5286696;0,9586486;26,6298512301588
ROC8;10;Non Brouté;Exclos;Rhi.gra;10;0,1151;1;1;1;1;1;1;1;1;1;1;1;0;0,0136;2,8;1,5;0,8;1,2;0,7;0,9;2,3;1,3;1,9;1,5;1,49;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,25;6,23;;6,24;21,7;;2820;798;2,6640625;-28,0197480471215;0,038431979613323;22,0378788;0,8379163;26,3008116681821
ROC8;10;Brouté;Témoin;Aul.tur;9;1,4007;5;4;7;9;1;5;10;5;7;;5,88888888888889;0,0264;0,1325;2,3;1,7;2;2,2;2,7;2,7;3,2;2,8;1,6;;2,35555555555556;0,6;0,3;1;0,8;0,7;0,6;0,6;0,8;0,7;;0,677777777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,01;5,08;5,82;5,63666666666667;21,6;0,2;;;12,9351669941061;-26,1338210953278;-0,459349501163966;22,8863736;0,7846115;29,169051944816
ROC8;10;Brouté;Témoin;Aul.pal;7;0,7386;3;2;2;3;1;4;5;;;;2,85714285714286;0,0094;0,07;1,8;1,7;2,7;2,3;2,5;1,7;1,8;;;;2,07142857142857;0,7;0,6;0,8;0;0,8;0,6;0,4;;;;0,557142857142857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,68;6,63;6,63;6,64666666666667;21,6;;1590;359;7,77777777777778;-26,2610739418378;-0,622934947467793;20,7098828;0,7932121;26,1088841181318
ROC8;14;Non Brouté;Exclos;Aul.pal;10;0,756;6;4;5;4;10;6;7;3;1;6;5,2;0,0154;0,0687;3,9;3,7;3,3;3,1;4,3;3,6;3,7;3,4;3,9;3,5;3,64;0,9;1,4;1,1;1;1,2;1;1,1;1,2;0;1;0,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,25;6,38;;6,315;21,6;0,13;;;11,264457439896;-28,2245455969737;0,596428962097543;25,1993855;0,937207;26,887747850795
ROC8;14;Non Brouté;Exclos;Rhi.gra;11;0,075;2;1;3;5;4;4;2;2;1;2;2,6;0,0037;0,0059;1,1;1,9;1,5;2;1,2;3,3;1,7;1,8;1,8;2,2;1,85;0,9;1;0,7;0;1;1,1;1,4;0,8;0,4;1,4;0,790909090909091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,72;6,84;;6,78;21,6;;;;2,56338028169014;-28,374664189341;-0,149239667373276;29,9944841;1,3286461;22,5752245838828
ROC8;14;Brouté;Témoin;Rhi.pun;10;0,0839;1;2;1;2;6;3;1;1;1;1;1,9;0;0,0078;2,7;2,9;2;1,7;2,4;1,8;1,6;2,9;1,7;1,6;2,13;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,9;5,36;5,4;5,55333333333333;21,7;0,13;;;2,92714377820761;-26,0274456689483;1,40733105175087;29,0943201;1,1171256;26,0439113560731
ROC8;14;Brouté;Témoin;Lep.rip+Bra.alb;7;0,2215;4;5;3;6;3;5;5;;;;4,42857142857143;0,004;0,0094;2,9;2,8;2,2;5,6;2,6;3,7;1,7;;;;3,07142857142857;0,7;0,8;1;0,3;0,8;2;0,5;;;;0,871428571428572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,88511749347258;-26,15794443;5,556118805;34,5486247;1,156577339;29,87143492
ROC8;14;Brouté;Témoin;Cal.ric;11;0,5565;1;4;2;3;2;1;3;5;3;4;2,8;0,0044;0,0256;4,3;3,4;3,4;4,4;2;3,3;3,7;4;3,6;4,6;3,67;4,037;1,2;1,4;0,9;0,8;0,5;1,4;0,4;1,3;1,5;1,22154545454545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;944;446;10,4399740428293;-25,5900140090699;-0,0288086639594156;36,2820281;1,1398612;31,8302159069894
ROC8;14;Brouté;Témoin;Sco.rev;8;0,2437;1;4;4;1;6;3;1;3;;;2,875;0,0017;0,0098;1,1;1,7;2;2,6;3,2;2,9;4;3;;;2,5625;1,1;0,3;0,7;1,1;0,9;0,8;0,2;0,8;;;0,7375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1031;464;3,81161290322581;-25,4806560941003;0,465962041732527;34,7658442;1,0810876;32,1582119709818
